User Input,Intent,Response
Tips sehat mengurangi garam,tanya_tips_hidup_sehat,Gunakan rempah alami sebagai pengganti bumbu.
Tips sehat mengurangi lemak,tanya_tips_hidup_sehat,Pilih makanan panggang/rebus dibanding goreng.
Tips sehat olahraga di rumah,tanya_tips_hidup_sehat,"Lakukan senam, yoga, atau skipping 20 menit."
Tips sehat bekerja dari rumah,tanya_tips_hidup_sehat,"Tetap olahraga, makan teratur, dan istirahat cukup."
Tips sehat untuk anak sekolah,tanya_tips_hidup_sehat,"Sarapan sehat, tidur cukup, bawa bekal."
Tips sehat untuk remaja,tanya_tips_hidup_sehat,"Hindari junk food, banyak minum air putih."
Tips sehat untuk orang gemuk,tanya_tips_hidup_sehat,"Batasi kalori, perbanyak sayur dan olahraga."
Tips sehat untuk orang kurus,tanya_tips_hidup_sehat,"Tambah kalori sehat dari kacang, alpukat, susu."
Tips sehat agar tidak cepat lelah,tanya_tips_hidup_sehat,"Cukup tidur, minum air, makan bergizi."
Tips sehat agar tidak mudah sakit,tanya_tips_hidup_sehat,"Konsumsi vitamin, olahraga, dan istirahat cukup."
Tips sehat untuk tidur nyenyak,tanya_tips_hidup_sehat,"Hindari kafein malam, buat kamar nyaman."
Tips sehat untuk kerja malam,tanya_tips_hidup_sehat,Atur jam tidur dan makan dengan teratur.
Tips sehat untuk jaga imun,tanya_tips_hidup_sehat,"Perbanyak buah, sayur, olahraga, tidur cukup."
Tips sehat untuk pencernaan,tanya_tips_hidup_sehat,"Konsumsi serat, minum air, hindari makanan pedas."
Tips sehat untuk kulit glowing,tanya_tips_hidup_sehat,"Minum cukup air, makan sayur & buah, tidur cukup"
Bagaimana cara biar badan tetap bugar?,tanya_tips_hidup_sehat,"Olahraga rutin, makan bergizi, dan tidur cukup."
Tips menjaga stamina tubuh,tanya_tips_hidup_sehat,"Perbanyak air putih, konsumsi buah, olahraga teratur."
Bagaimana cara biar jarang sakit?,tanya_tips_hidup_sehat,Tingkatkan imun dengan gizi seimbang dan istirahat cukup.
Tips hidup sehat untuk pekerja kantoran,tanya_tips_hidup_sehat,"Bawa bekal sehat, banyak gerak, cukup minum air."
Bagaimana cara menjaga pola makan sehat?,tanya_tips_hidup_sehat,"Ikuti konsep isi piring seimbang: sayur, buah, protein, karbo."
Tips sederhana biar sehat setiap hari,tanya_tips_hidup_sehat,"Rajin olahraga, tidur teratur, dan kurangi junk food."
Bagaimana cara menjaga kesehatan tubuh?,tanya_tips_hidup_sehat,"Konsumsi gizi seimbang, olahraga rutin, dan hindari stres."
Tips sehat murah dan mudah,tanya_tips_hidup_sehat,"Minum air putih cukup, jalan kaki tiap hari, makan sayur."
Apa saja kebiasaan sehat sebelum tidur?,tanya_tips_hidup_sehat,"Hindari gadget, minum air hangat, tidur cukup jam 10 malam."
